architechure = resnet34, prune_ratio = 20, bit = 5, direction = tl, acc = 0.5562
architechure = resnet34, prune_ratio = 20, bit = 6, direction = tl, acc = 0.5197
architechure = resnet34, prune_ratio = 20, bit = 7, direction = tl, acc = 0.5871
architechure = resnet34, prune_ratio = 20, bit = 8, direction = tl, acc = 0.5936
architechure = resnet34, prune_ratio = 30, bit = 4, direction = tl, acc = 0.6744
architechure = resnet34, prune_ratio = 30, bit = 5, direction = tl, acc = 0.7234
architechure = resnet34, prune_ratio = 30, bit = 6, direction = tl, acc = 0.6998
architechure = resnet34, prune_ratio = 30, bit = 7, direction = tl, acc = 0.7335
architechure = resnet34, prune_ratio = 30, bit = 8, direction = tl, acc = 0.7407
architechure = resnet34, prune_ratio = 40, bit = 4, direction = tl, acc = 0.8178
architechure = resnet34, prune_ratio = 40, bit = 5, direction = tl, acc = 0.8468
architechure = resnet34, prune_ratio = 40, bit = 6, direction = tl, acc = 0.8441
architechure = resnet34, prune_ratio = 40, bit = 7, direction = tl, acc = 0.8562
architechure = resnet34, prune_ratio = 40, bit = 8, direction = tl, acc = 0.8558
architechure = resnet34, prune_ratio = 50, bit = 4, direction = tl, acc = 0.8784
architechure = resnet34, prune_ratio = 50, bit = 5, direction = tl, acc = 0.895
architechure = resnet34, prune_ratio = 50, bit = 6, direction = tl, acc = 0.8909
architechure = resnet34, prune_ratio = 50, bit = 7, direction = tl, acc = 0.8968
architechure = resnet34, prune_ratio = 50, bit = 8, direction = tl, acc = 0.8974
architechure = resnet34, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1311
architechure = resnet34, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1337
architechure = resnet34, prune_ratio = 10, bit = 6, direction = tr, acc = 0.1297
architechure = resnet34, prune_ratio = 10, bit = 7, direction = tr, acc = 0.137
architechure = resnet34, prune_ratio = 10, bit = 8, direction = tr, acc = 0.1365
architechure = resnet34, prune_ratio = 20, bit = 4, direction = tr, acc = 0.1303
architechure = resnet34, prune_ratio = 20, bit = 5, direction = tr, acc = 0.1549
architechure = resnet34, prune_ratio = 20, bit = 6, direction = tr, acc = 0.1665
architechure = resnet34, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1601
architechure = resnet34, prune_ratio = 20, bit = 8, direction = tr, acc = 0.1573
architechure = resnet34, prune_ratio = 30, bit = 4, direction = tr, acc = 0.1715
architechure = resnet34, prune_ratio = 30, bit = 5, direction = tr, acc = 0.1932
architechure = resnet34, prune_ratio = 30, bit = 6, direction = tr, acc = 0.17
architechure = resnet34, prune_ratio = 30, bit = 7, direction = tr, acc = 0.1907
architechure = resnet34, prune_ratio = 30, bit = 8, direction = tr, acc = 0.1934
architechure = resnet34, prune_ratio = 40, bit = 4, direction = tr, acc = 0.4078
architechure = resnet34, prune_ratio = 40, bit = 5, direction = tr, acc = 0.4803
architechure = resnet34, prune_ratio = 40, bit = 6, direction = tr, acc = 0.4389
architechure = resnet34, prune_ratio = 40, bit = 7, direction = tr, acc = 0.5154
architechure = resnet34, prune_ratio = 40, bit = 8, direction = tr, acc = 0.519
architechure = resnet34, prune_ratio = 50, bit = 4, direction = tr, acc = 0.8784
architechure = resnet34, prune_ratio = 50, bit = 5, direction = tr, acc = 0.895
architechure = resnet34, prune_ratio = 50, bit = 6, direction = tr, acc = 0.8909
architechure = resnet34, prune_ratio = 50, bit = 7, direction = tr, acc = 0.8968
architechure = resnet34, prune_ratio = 50, bit = 8, direction = tr, acc = 0.8974
architechure = vgg8, prune_ratio = 10, bit = 4, direction = bl, acc = 0.9112
architechure = vgg8, prune_ratio = 10, bit = 5, direction = bl, acc = 0.9138
architechure = vgg8, prune_ratio = 10, bit = 6, direction = bl, acc = 0.9127
architechure = vgg8, prune_ratio = 10, bit = 7, direction = bl, acc = 0.9137
architechure = vgg8, prune_ratio = 10, bit = 8, direction = bl, acc = 0.9139
architechure = vgg8, prune_ratio = 20, bit = 4, direction = bl, acc = 0.9046
architechure = vgg8, prune_ratio = 20, bit = 5, direction = bl, acc = 0.9085
architechure = vgg8, prune_ratio = 20, bit = 6, direction = bl, acc = 0.9092
architechure = vgg8, prune_ratio = 20, bit = 7, direction = bl, acc = 0.9088
architechure = vgg8, prune_ratio = 20, bit = 8, direction = bl, acc = 0.9095
architechure = vgg8, prune_ratio = 30, bit = 4, direction = bl, acc = 0.9025
architechure = vgg8, prune_ratio = 30, bit = 5, direction = bl, acc = 0.9072
architechure = vgg8, prune_ratio = 30, bit = 6, direction = bl, acc = 0.9085
architechure = vgg8, prune_ratio = 30, bit = 7, direction = bl, acc = 0.9068
architechure = vgg8, prune_ratio = 30, bit = 8, direction = bl, acc = 0.9066
architechure = vgg8, prune_ratio = 40, bit = 4, direction = bl, acc = 0.8976
architechure = vgg8, prune_ratio = 40, bit = 5, direction = bl, acc = 0.9081
architechure = vgg8, prune_ratio = 40, bit = 6, direction = bl, acc = 0.9056
architechure = vgg8, prune_ratio = 40, bit = 7, direction = bl, acc = 0.9081
architechure = vgg8, prune_ratio = 40, bit = 8, direction = bl, acc = 0.9091
architechure = vgg8, prune_ratio = 50, bit = 4, direction = bl, acc = 0.8903
architechure = vgg8, prune_ratio = 50, bit = 5, direction = bl, acc = 0.9035
architechure = vgg8, prune_ratio = 50, bit = 6, direction = bl, acc = 0.9007
architechure = vgg8, prune_ratio = 50, bit = 7, direction = bl, acc = 0.9046
architechure = vgg8, prune_ratio = 50, bit = 8, direction = bl, acc = 0.9049
architechure = vgg8, prune_ratio = 10, bit = 4, direction = br, acc = 0.8986
architechure = vgg8, prune_ratio = 10, bit = 5, direction = br, acc = 0.9067
architechure = vgg8, prune_ratio = 10, bit = 6, direction = br, acc = 0.9041
architechure = vgg8, prune_ratio = 10, bit = 7, direction = br, acc = 0.9057
architechure = vgg8, prune_ratio = 10, bit = 8, direction = br, acc = 0.9067
architechure = vgg8, prune_ratio = 20, bit = 4, direction = br, acc = 0.8965
architechure = vgg8, prune_ratio = 20, bit = 5, direction = br, acc = 0.9039
architechure = vgg8, prune_ratio = 20, bit = 6, direction = br, acc = 0.9067
architechure = vgg8, prune_ratio = 20, bit = 7, direction = br, acc = 0.9026
architechure = vgg8, prune_ratio = 20, bit = 8, direction = br, acc = 0.9033
architechure = vgg8, prune_ratio = 30, bit = 4, direction = br, acc = 0.897
architechure = vgg8, prune_ratio = 30, bit = 5, direction = br, acc = 0.9051
architechure = vgg8, prune_ratio = 30, bit = 6, direction = br, acc = 0.9053
