architechure = resnet34, prune_ratio = 20, bit = 5, direction = br, acc = 0.8363
architechure = resnet34, prune_ratio = 20, bit = 6, direction = br, acc = 0.8235
architechure = resnet34, prune_ratio = 20, bit = 7, direction = br, acc = 0.846
architechure = resnet34, prune_ratio = 20, bit = 8, direction = br, acc = 0.8484
architechure = resnet34, prune_ratio = 30, bit = 4, direction = br, acc = 0.8505
architechure = resnet34, prune_ratio = 30, bit = 5, direction = br, acc = 0.8695
architechure = resnet34, prune_ratio = 30, bit = 6, direction = br, acc = 0.8614
architechure = resnet34, prune_ratio = 30, bit = 7, direction = br, acc = 0.8728
architechure = resnet34, prune_ratio = 30, bit = 8, direction = br, acc = 0.8729
architechure = resnet34, prune_ratio = 40, bit = 4, direction = br, acc = 0.8743
architechure = resnet34, prune_ratio = 40, bit = 5, direction = br, acc = 0.8917
architechure = resnet34, prune_ratio = 40, bit = 6, direction = br, acc = 0.89
architechure = resnet34, prune_ratio = 40, bit = 7, direction = br, acc = 0.8936
architechure = resnet34, prune_ratio = 40, bit = 8, direction = br, acc = 0.8934
architechure = resnet34, prune_ratio = 50, bit = 4, direction = br, acc = 0.8784
architechure = resnet34, prune_ratio = 50, bit = 5, direction = br, acc = 0.895
architechure = resnet34, prune_ratio = 50, bit = 6, direction = br, acc = 0.8909
architechure = resnet34, prune_ratio = 50, bit = 7, direction = br, acc = 0.8968
architechure = resnet34, prune_ratio = 50, bit = 8, direction = br, acc = 0.8974
architechure = resnet34, prune_ratio = 10, bit = 4, direction = tl, acc = 0.4851
architechure = resnet34, prune_ratio = 10, bit = 5, direction = tl, acc = 0.59
architechure = resnet34, prune_ratio = 10, bit = 6, direction = tl, acc = 0.5655
architechure = resnet34, prune_ratio = 10, bit = 7, direction = tl, acc = 0.62
architechure = resnet34, prune_ratio = 10, bit = 8, direction = tl, acc = 0.6294
architechure = resnet34, prune_ratio = 20, bit = 4, direction = tl, acc = 0.5747
architechure = resnet34, prune_ratio = 20, bit = 5, direction = tl, acc = 0.6859
architechure = resnet34, prune_ratio = 20, bit = 6, direction = tl, acc = 0.6626
architechure = resnet34, prune_ratio = 20, bit = 7, direction = tl, acc = 0.7093
architechure = resnet34, prune_ratio = 20, bit = 8, direction = tl, acc = 0.7149
architechure = resnet34, prune_ratio = 30, bit = 4, direction = tl, acc = 0.747
architechure = resnet34, prune_ratio = 30, bit = 5, direction = tl, acc = 0.7885
architechure = resnet34, prune_ratio = 30, bit = 6, direction = tl, acc = 0.7687
architechure = resnet34, prune_ratio = 30, bit = 7, direction = tl, acc = 0.7935
architechure = resnet34, prune_ratio = 30, bit = 8, direction = tl, acc = 0.7991
architechure = resnet34, prune_ratio = 40, bit = 4, direction = tl, acc = 0.8482
architechure = resnet34, prune_ratio = 40, bit = 5, direction = tl, acc = 0.873
architechure = resnet34, prune_ratio = 40, bit = 6, direction = tl, acc = 0.8714
architechure = resnet34, prune_ratio = 40, bit = 7, direction = tl, acc = 0.8764
architechure = resnet34, prune_ratio = 40, bit = 8, direction = tl, acc = 0.8763
architechure = resnet34, prune_ratio = 50, bit = 4, direction = tl, acc = 0.8784
architechure = resnet34, prune_ratio = 50, bit = 5, direction = tl, acc = 0.895
architechure = resnet34, prune_ratio = 50, bit = 6, direction = tl, acc = 0.8909
architechure = resnet34, prune_ratio = 50, bit = 7, direction = tl, acc = 0.8968
