architechure = alexnet, prune_ratio = 30, bit = 6, direction = tl, acc = 0.3902
architechure = alexnet, prune_ratio = 30, bit = 7, direction = tl, acc = 0.4175
architechure = alexnet, prune_ratio = 30, bit = 8, direction = tl, acc = 0.4195
architechure = alexnet, prune_ratio = 40, bit = 4, direction = tl, acc = 0.3022
architechure = alexnet, prune_ratio = 40, bit = 5, direction = tl, acc = 0.3889
architechure = alexnet, prune_ratio = 40, bit = 6, direction = tl, acc = 0.389
architechure = alexnet, prune_ratio = 40, bit = 7, direction = tl, acc = 0.4132
architechure = alexnet, prune_ratio = 40, bit = 8, direction = tl, acc = 0.4172
architechure = alexnet, prune_ratio = 50, bit = 4, direction = tl, acc = 0.3055
architechure = alexnet, prune_ratio = 50, bit = 5, direction = tl, acc = 0.4101
architechure = alexnet, prune_ratio = 50, bit = 6, direction = tl, acc = 0.3897
architechure = alexnet, prune_ratio = 50, bit = 7, direction = tl, acc = 0.4274
architechure = alexnet, prune_ratio = 50, bit = 8, direction = tl, acc = 0.4273
architechure = alexnet, prune_ratio = 10, bit = 4, direction = tr, acc = 0.1046
architechure = alexnet, prune_ratio = 10, bit = 5, direction = tr, acc = 0.1071
architechure = alexnet, prune_ratio = 10, bit = 6, direction = tr, acc = 0.1077
architechure = alexnet, prune_ratio = 10, bit = 7, direction = tr, acc = 0.1104
architechure = alexnet, prune_ratio = 10, bit = 8, direction = tr, acc = 0.1111
architechure = alexnet, prune_ratio = 20, bit = 4, direction = tr, acc = 0.105
architechure = alexnet, prune_ratio = 20, bit = 5, direction = tr, acc = 0.1117
architechure = alexnet, prune_ratio = 20, bit = 6, direction = tr, acc = 0.1087
architechure = alexnet, prune_ratio = 20, bit = 7, direction = tr, acc = 0.1142
architechure = alexnet, prune_ratio = 20, bit = 8, direction = tr, acc = 0.1131
architechure = alexnet, prune_ratio = 30, bit = 4, direction = tr, acc = 0.1106
architechure = alexnet, prune_ratio = 30, bit = 5, direction = tr, acc = 0.115
architechure = alexnet, prune_ratio = 30, bit = 6, direction = tr, acc = 0.112
architechure = alexnet, prune_ratio = 30, bit = 7, direction = tr, acc = 0.1139
architechure = alexnet, prune_ratio = 30, bit = 8, direction = tr, acc = 0.1159
architechure = alexnet, prune_ratio = 40, bit = 4, direction = tr, acc = 0.1032
architechure = alexnet, prune_ratio = 40, bit = 5, direction = tr, acc = 0.1166
architechure = alexnet, prune_ratio = 40, bit = 6, direction = tr, acc = 0.116
